;4T22;1T23;2T23;3T23;4T23;1T24;2T24;3T24;4T24;1T25;2T25;;;;;;;;;;;;;;;;;
;31/12/2022;31/03/2023;30/06/2023;30/09/2023;31/12/2023;31/03/2024;30/06/2024;30/09/2024;31/12/2024;31/03/2025;30/06/2025;30/09/2025;31/12/2025;31/03/2026;30/06/2026;30/09/2026;31/12/2026;31/03/2027;30/06/2027;30/09/2027;31/12/2027;31/03/2028;30/06/2028;30/09/2028;31/12/2028;;;
Lucro Líquido Atribuível aos Acionistas Controladores; 7.292 ; 7.355 ; 8.619 ; 8.358 ; 8.773 ; 9.811 ; 10.073 ; 10.366 ; 10.835 ; 10.507 ; 11.137 ; 11.636,95 ; 12.159,34 ; 12.705,18 ; 13.275,53 ; 13.871,48 ; 14.494,18 ; 15.144,84 ; 15.824,70 ; 16.535,09 ; 17.277,36 ; 18.052,96 ; 18.863,37 ; 19.710,16 ; 20.594,97 ;;;
Total do Patrimônio Líquido dos Acionistas Controladores; 167.717 ; 171.550 ; 178.853 ; 183.636 ; 190.177 ; 185.547 ; 193.749 ; 201.365 ; 211.090 ; 201.140 ; 208.547 ; 213.238,02 ; 218.034,55 ; 222.938,98 ; 227.953,73 ; 233.081,28 ; 238.324,17 ; 243.684,98 ; 249.166,39 ; 254.771,09 ; 260.501,86 ; 266.361,55 ; 272.353,03 ; 278.479,29 ; 284.743,35 ;;;
Reinvestimento; 3.833 ; 7.303 ; 4.783 ; 6.541 ; (4.630); 8.202 ; 7.616 ; 9.725 ; (9.950); 7.407 ; 4.691 ; 4.797 ; 4.904 ; 5.015 ; 5.128 ; 5.243 ; 5.361 ; 5.481 ; 5.605 ; 5.731 ; 5.860 ; 5.991 ; 6.126 ; 6.264 ;;;;
FCFE; 3.459 ; 52 ; 3.836 ; 1.817 ; 13.403 ; 1.609 ; 2.457 ; 641 ; 20.785 ; 3.100 ; 6.446 ; 6.840 ; 7.255 ; 7.690 ; 8.148 ; 8.629 ; 9.133 ; 9.663 ; 10.220 ; 10.804 ; 11.418 ; 12.061 ; 12.737 ; 13.446 ;;;;
ROE;4,35%;4,29%;4,82%;4,55%;4,61%;5,29%;5,20%;5,15%;5,13%;5,22%;;;;;;;;;;;;;;;;;;
Taxa de retenção;52,56%;99,29%;55,49%;78,26%;-52,78%;83,60%;75,61%;93,82%;-91,83%;70,50%;;;;;;;;;;;;;;;;;;
Payout;47,44%;0,71%;44,51%;21,74%;152,78%;16,40%;24,39%;6,18%;191,83%;29,50%;;;;;;;;;;;;;;;;;;
Taxa de crescimento LL;0,86%;17,19%;-3,03%;4,97%;11,83%;2,67%;2,91%;4,52%;-3,03%;6,00%;;;;;;;;;;;;;;;;;;
Taxa de crescimento média LL;4,49%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taxa de crescimento PL;2,285%;4,257%;2,674%;3,562%;-2,435%;4,420%;3,931%;4,830%;-4,714%;3,683%;;;;;;;;;;;;;;;;;;
Taxa de crescimento média PL;2,249%;;;;;;;;;;;;;;;;;;;;;;;;;;;
